date,shift,required_ground_crew_count
2026-03-27,Afternoon,85
2026-12-28,Afternoon,45
2026-04-18,Afternoon,82
2024-09-12,Morning,101
2026-04-15,Morning,128
2024-04-25,Morning,65
2025-06-10,Night,92
2025-11-17,Night,78
2025-05-15,Morning,82
2026-02-06,Morning,42
2024-09-20,Afternoon,113
2025-10-26,Afternoon,85
2025-12-07,Morning,153
2025-11-25,Morning,58
2024-11-13,Afternoon,76
2024-11-30,Morning,136
2024-10-09,Morning,93
2025-05-21,Morning,94
2025-10-04,Afternoon,64
2025-02-01,Afternoon,111
2025-03-25,Morning,124
2024-11-09,Afternoon,126
2024-08-27,Afternoon,116
2025-12-21,Night,141
2026-06-13,Night,44
2024-11-14,Morning,108
2026-08-01,Night,105
2025-09-17,Afternoon,112
2024-07-02,Afternoon,143
2025-02-05,Morning,66
2024-01-09,Morning,49
2024-02-12,Morning,73
2025-01-03,Night,38
2025-05-13,Afternoon,140
2026-05-24,Afternoon,150
2024-05-27,Afternoon,173
2026-07-08,Morning,99
2024-09-14,Morning,91
2024-05-31,Afternoon,70
2026-02-06,Afternoon,140
2026-04-28,Night,44
2025-10-24,Afternoon,149
2024-05-06,Afternoon,114
2024-05-06,Night,48
2025-03-03,Morning,158
2025-05-08,Afternoon,107
2026-12-30,Afternoon,145
2024-11-09,Morning,129
2024-07-30,Morning,124
2026-11-02,Morning,90
2024-06-17,Morning,63
2024-01-29,Afternoon,82
2025-04-08,Morning,57
2025-03-15,Afternoon,90
2025-11-10,Morning,119
2026-08-19,Morning,82
2026-10-19,Morning,138
2024-11-13,Morning,98
2026-12-10,Night,57
2025-11-24,Morning,151
2024-03-17,Morning,68
2026-10-25,Morning,138
2024-05-31,Morning,35
2025-10-07,Afternoon,63
2026-05-16,Night,54
2024-09-30,Morning,65
2024-10-23,Afternoon,109
2025-06-05,Afternoon,84
2026-08-27,Night,87
2024-09-02,Afternoon,104
2025-12-28,Morning,114
2025-05-11,Afternoon,73
2024-05-02,Night,45
2026-02-18,Afternoon,48
2026-07-01,Night,59
2025-09-22,Night,53
2024-07-12,Morning,181
2024-06-19,Night,80
2025-04-09,Afternoon,84
2025-07-09,Afternoon,49
2025-08-28,Afternoon,175
2024-09-24,Night,38
2025-07-02,Afternoon,56
2024-11-19,Afternoon,125
2026-01-22,Morning,114
2026-05-22,Afternoon,103
2025-12-16,Night,78
2024-01-02,Afternoon,70
2026-12-23,Morning,117
2024-01-27,Night,63
2026-12-31,Night,155
2024-02-04,Afternoon,74
2025-07-20,Morning,206
2024-04-26,Afternoon,71
2024-04-14,Morning,64
2026-01-19,Morning,60
2026-03-08,Afternoon,49
2024-05-09,Night,37
2026-12-06,Morning,120
2024-12-17,Night,93
2024-12-14,Night,70
2024-11-21,Morning,103
2025-05-20,Morning,138
2024-07-13,Afternoon,161
2025-04-10,Night,64
2024-08-18,Morning,181
2024-02-26,Afternoon,57
2025-02-08,Afternoon,99
2026-01-06,Afternoon,87
2026-04-16,Afternoon,115
2025-01-22,Morning,86
2024-12-20,Morning,141
2026-05-13,Morning,120
2026-01-16,Night,76
2026-07-01,Night,58
2026-09-20,Night,129
2026-06-19,Morning,90
2026-10-23,Afternoon,85
2025-04-01,Morning,74
2025-03-08,Morning,119
2024-12-18,Morning,131
2024-09-14,Night,98
2026-03-31,Morning,50
2026-02-22,Afternoon,100
2026-05-28,Night,78
2024-07-02,Afternoon,76
2025-06-22,Morning,121
2024-08-31,Night,101
2026-09-05,Afternoon,80
2024-10-20,Afternoon,149
2024-06-06,Afternoon,129
2025-09-16,Night,55
2026-08-21,Afternoon,98
2026-09-30,Afternoon,136
2024-04-15,Afternoon,67
2024-12-23,Morning,135
2024-06-17,Night,66
2024-12-03,Morning,163
2025-08-08,Morning,148
2024-11-03,Morning,78
2024-03-15,Morning,105
2025-07-12,Afternoon,173
2024-02-27,Afternoon,98
2024-09-05,Morning,61
2024-01-01,Morning,125
2024-04-05,Night,43
2025-04-23,Night,57
2026-07-21,Afternoon,100
2026-04-28,Morning,122
2024-04-18,Morning,141
2024-02-08,Morning,75
2025-01-05,Morning,147
2025-12-15,Night,113
2026-03-29,Afternoon,68
2026-06-21,Morning,146
2025-01-10,Night,57
2024-07-03,Afternoon,144
2024-01-29,Morning,73
2024-06-09,Afternoon,121
2024-03-12,Morning,87
2026-08-01,Night,109
2024-10-21,Morning,88
2026-06-21,Afternoon,147
2025-08-29,Morning,179
2025-08-13,Night,66
2025-05-13,Afternoon,93
2026-06-16,Afternoon,142
2024-02-17,Morning,90
2024-04-11,Night,76
2025-04-09,Afternoon,60
2025-03-08,Morning,195
2025-08-20,Night,86
2026-03-19,Morning,76
2025-10-05,Morning,192
2024-10-09,Afternoon,45
2024-12-24,Morning,158
2026-04-04,Afternoon,76
2024-08-08,Morning,130
2025-07-06,Morning,107
2025-08-13,Morning,107
2026-04-02,Morning,84
2026-02-21,Night,47
2025-05-24,Afternoon,67
2024-12-04,Afternoon,112
2025-02-07,Morning,87
2025-03-27,Afternoon,62
2024-08-28,Morning,160
2025-11-16,Morning,150
2024-08-16,Afternoon,93
2025-12-11,Afternoon,112
2026-04-03,Night,74
2026-11-20,Night,89
2024-05-10,Night,69
2026-04-12,Morning,121
2024-04-04,Morning,70
2025-01-04,Morning,86
2024-07-12,Night,65
2024-06-26,Night,103
2024-07-11,Night,112
2024-02-18,Morning,102
2026-06-21,Night,66
2024-03-07,Afternoon,147
2025-03-12,Night,70
2026-02-05,Afternoon,90
2026-12-21,Morning,127
2026-07-24,Morning,70
2024-05-30,Night,40
2026-12-18,Afternoon,153
2025-12-17,Morning,146
2024-07-15,Morning,141
2025-05-06,Morning,102
2026-10-02,Night,105
2025-03-06,Morning,152
2024-07-20,Morning,127
2026-08-17,Night,41
2026-11-10,Afternoon,73
2026-12-05,Morning,101
2026-11-13,Morning,121
2026-08-14,Morning,180
2025-05-13,Morning,143
2024-07-29,Morning,148
2025-11-07,Morning,99
2024-08-29,Afternoon,82
2025-06-02,Night,48
2025-12-20,Night,63
2026-11-03,Morning,110
2024-11-12,Morning,103
2024-10-03,Night,41
2026-03-16,Night,53
2024-01-08,Afternoon,40
2025-09-12,Morning,115
2026-03-28,Morning,78
2025-08-26,Afternoon,105
2025-02-24,Afternoon,70
2026-06-27,Morning,98
2025-02-10,Night,39
2026-02-17,Afternoon,58
2025-05-23,Afternoon,125
2024-01-30,Morning,120
2025-08-04,Night,109
2024-02-24,Afternoon,54
2026-10-17,Morning,59
2025-10-21,Afternoon,83
2025-02-11,Afternoon,115
2025-06-16,Night,52
2025-11-09,Morning,185
2024-10-12,Night,48
2024-11-12,Afternoon,53
2025-04-03,Morning,84
2024-10-10,Morning,194
2026-04-10,Morning,109
2024-04-23,Morning,155
2026-06-24,Afternoon,64
2025-01-16,Afternoon,28
2025-09-07,Morning,76
2024-06-21,Night,80
2025-02-26,Morning,146
2026-04-07,Afternoon,99
2024-10-23,Night,59
2024-05-24,Night,117
2025-07-26,Afternoon,90
2024-06-27,Afternoon,96
2024-12-10,Morning,88
2025-05-08,Morning,73
2025-09-10,Afternoon,67
2025-12-01,Morning,160
2026-01-11,Morning,128
2026-07-14,Morning,219
2024-03-13,Night,58
2025-02-01,Night,42
2024-01-02,Night,32
2024-01-11,Afternoon,85
2024-08-20,Morning,84
2025-10-17,Morning,111
2026-09-07,Afternoon,67
2026-04-27,Afternoon,52
2025-12-09,Morning,163
2026-05-02,Afternoon,121
2024-07-07,Afternoon,139
2026-07-09,Morning,81
2026-09-02,Morning,100
2024-04-14,Afternoon,55
2025-05-30,Afternoon,132
2026-06-28,Night,59
2025-06-05,Afternoon,78
2026-07-10,Afternoon,158
2026-10-22,Night,46
2025-06-04,Morning,139
2024-03-06,Afternoon,127
2025-01-07,Afternoon,82
2024-08-23,Afternoon,118
2025-06-03,Morning,97
2025-10-04,Night,51
2025-05-23,Night,63
2024-08-02,Morning,182
2024-11-26,Morning,123
2026-01-14,Morning,88
2024-01-30,Night,41
2024-08-22,Afternoon,148
2026-09-05,Morning,90
2024-04-18,Night,59
2025-03-30,Morning,171
2024-08-14,Afternoon,55
2024-04-24,Morning,47
2025-04-08,Afternoon,102
2025-07-25,Afternoon,54
2024-07-12,Morning,132
2024-03-26,Afternoon,70
2024-05-27,Night,95
2025-12-15,Afternoon,67
2026-07-31,Night,75
2024-07-16,Afternoon,71
2024-12-17,Night,79
2025-01-11,Morning,117
2025-01-30,Night,49
2024-09-24,Morning,127
2024-03-01,Morning,136
2025-07-29,Morning,140
2025-01-26,Morning,102
2025-01-10,Night,57
2024-10-17,Night,84
2026-10-15,Night,48
2025-10-31,Morning,120
2025-04-03,Night,48
2024-08-13,Afternoon,90
2026-05-28,Morning,81
2026-08-31,Afternoon,70
2024-02-05,Afternoon,109
2026-10-15,Morning,177
2026-02-05,Afternoon,97
2024-04-19,Afternoon,59
2026-04-05,Morning,148
2024-04-27,Afternoon,62
2024-02-25,Afternoon,106
2024-05-06,Afternoon,71
2025-05-18,Night,118
2025-11-10,Night,69
2025-03-22,Afternoon,133
2024-05-13,Afternoon,64
2024-08-06,Afternoon,172
2026-07-23,Afternoon,86
2026-11-21,Morning,130
2026-04-06,Afternoon,84
2024-04-23,Afternoon,99
2026-06-17,Afternoon,91
2026-01-28,Night,54
2025-07-30,Afternoon,43
2024-06-05,Morning,218
2026-12-28,Morning,115
2025-04-30,Morning,94
2024-02-18,Morning,125
2024-08-18,Afternoon,212
2025-03-15,Morning,131
2024-03-09,Morning,52
2024-12-21,Morning,146
2025-05-28,Night,53
2026-11-05,Night,61
2024-04-04,Morning,124
2025-09-24,Morning,119
2026-09-30,Morning,100
2026-06-02,Morning,49
2026-10-10,Morning,128
2024-07-05,Morning,83
2026-05-28,Morning,106
2026-12-08,Night,57
2024-12-23,Afternoon,74
2025-06-30,Night,78
2025-08-04,Morning,137
2025-06-25,Morning,93
2024-11-13,Night,49
2026-11-30,Morning,53
2026-11-14,Afternoon,72
2025-02-21,Night,39
2026-06-01,Afternoon,138
2025-03-11,Morning,61
2026-05-21,Afternoon,95
2025-10-02,Morning,100
2025-05-30,Morning,156
2024-05-20,Morning,101
2025-12-18,Night,77
2024-12-17,Afternoon,179
2024-08-25,Morning,87
2024-07-30,Morning,72
2026-12-12,Afternoon,128
2024-04-23,Night,57
2026-05-25,Morning,120
2026-08-07,Morning,142
2024-02-04,Night,54
2025-10-07,Night,52
2025-09-24,Night,48
2025-01-28,Morning,71
2025-12-31,Morning,94
2025-03-23,Afternoon,68
2025-04-26,Morning,65
2025-04-17,Night,68
2026-05-27,Morning,131
2025-11-24,Afternoon,88
2025-02-19,Night,45
2026-10-12,Night,60
2026-05-29,Afternoon,114
2026-10-19,Night,75
2026-03-11,Morning,97
2025-03-05,Morning,84
2026-04-27,Morning,131
2024-12-26,Night,103
2024-10-23,Night,41
2025-05-09,Morning,75
2026-11-28,Morning,74
2025-09-14,Morning,100
2025-02-24,Morning,69
2025-05-21,Night,42
2024-11-15,Morning,153
2025-12-22,Night,88
2025-01-19,Afternoon,43
2025-08-30,Morning,141
2025-02-09,Morning,78
2024-12-17,Night,68
2026-11-29,Afternoon,128
2025-01-13,Afternoon,115
2024-03-18,Morning,181
2025-02-18,Night,61
2025-08-06,Night,48
2024-04-13,Night,36
2024-12-01,Afternoon,167
2024-07-01,Night,93
2025-07-02,Morning,80
2026-03-03,Afternoon,52
2026-11-27,Afternoon,92
2025-03-02,Afternoon,73
2026-08-04,Night,162
2024-08-23,Night,60
2026-05-05,Afternoon,71
2025-09-08,Afternoon,190
2026-04-10,Night,52
2026-04-08,Night,62
2025-08-06,Night,62
2024-10-09,Morning,107
2025-07-30,Morning,113
2026-06-25,Night,111
2026-11-29,Night,41
2026-10-13,Afternoon,71
2024-07-17,Afternoon,90
2025-10-16,Afternoon,87
2024-04-24,Afternoon,87
2026-01-03,Night,62
2026-12-23,Morning,139
2024-02-27,Afternoon,81
2025-12-20,Afternoon,168
2026-11-02,Night,80
2026-07-17,Morning,156
2025-03-06,Afternoon,105
2024-04-23,Morning,95
2026-10-09,Morning,152
2026-10-06,Afternoon,68
2025-09-26,Morning,90
2026-12-08,Night,108
2024-01-06,Night,55
2025-11-06,Morning,88
2024-02-12,Night,50
2026-10-22,Afternoon,58
2026-01-15,Afternoon,53
2026-09-28,Night,93
2025-09-08,Afternoon,87
2024-04-01,Morning,62
2024-01-30,Morning,46
2025-01-02,Afternoon,84
2026-03-25,Night,71
2024-06-14,Afternoon,77
2026-07-22,Morning,150
2024-09-19,Morning,62
2025-06-28,Night,153
2024-08-10,Morning,121
2025-05-25,Afternoon,70
2025-05-10,Afternoon,153
2024-01-06,Morning,103
2025-09-14,Morning,90
2026-05-12,Morning,103
2026-10-23,Morning,144
2024-12-28,Afternoon,127
2026-08-23,Night,43
2026-08-21,Morning,52
2026-12-19,Afternoon,92
2025-02-12,Morning,142
2026-07-21,Morning,205
2025-09-11,Night,47
2024-03-04,Night,39
2024-10-23,Night,45
2026-01-06,Morning,94
2024-06-25,Afternoon,189
2025-04-21,Afternoon,71
2026-04-29,Night,111
2024-06-13,Afternoon,165
2025-06-28,Night,60
2024-08-23,Morning,105
2025-08-10,Afternoon,117
2024-09-20,Night,107
2026-11-24,Morning,102
2024-03-25,Afternoon,66
2026-11-22,Afternoon,97
2026-05-17,Night,69
2026-07-26,Morning,155
2026-07-22,Night,55
2024-07-24,Afternoon,107
2026-10-17,Afternoon,122
2025-10-13,Afternoon,39
2026-11-20,Morning,50
2026-08-20,Night,86
2025-09-27,Night,62
2025-02-14,Night,68
2024-05-08,Night,84
2024-04-20,Afternoon,96
2025-03-03,Afternoon,58
2026-06-07,Night,67
2025-07-07,Morning,135
2025-06-12,Night,91
2024-09-24,Afternoon,82
2025-09-10,Afternoon,128
2025-11-30,Morning,109
2026-12-12,Morning,93
2026-03-10,Morning,72
2025-10-27,Afternoon,84
2026-09-24,Afternoon,74
2025-04-10,Morning,124
2026-10-21,Morning,95
2025-02-09,Afternoon,108
2024-05-20,Morning,89
2025-04-02,Night,96
2024-05-21,Morning,106
2024-05-09,Afternoon,90
2026-08-23,Morning,144
2026-05-21,Afternoon,96
2024-08-30,Afternoon,65
2026-07-07,Afternoon,91
2024-03-16,Afternoon,98
2024-11-07,Afternoon,83
2026-02-12,Morning,78
2024-11-28,Afternoon,92
2026-03-11,Morning,43
2026-08-16,Afternoon,170
2024-03-13,Afternoon,44
2024-01-27,Night,53
2026-10-27,Afternoon,63
2025-07-24,Morning,128
2025-07-09,Morning,126
2025-05-23,Morning,100
2025-04-20,Afternoon,103
2026-01-26,Night,45
2025-09-27,Night,53
2024-06-28,Afternoon,89
2025-11-17,Morning,77
2026-01-02,Night,27
2024-05-04,Morning,135
2025-02-16,Morning,85
2026-05-16,Night,110
2025-11-09,Morning,121
2024-05-29,Morning,144
2024-02-13,Morning,40
2025-09-29,Afternoon,66
2025-05-21,Morning,103
2026-11-19,Afternoon,44
2025-07-26,Afternoon,147
2026-10-17,Morning,53
2024-08-22,Morning,108
2025-05-05,Night,57
2024-06-02,Morning,167
2025-09-21,Afternoon,44
2024-07-25,Afternoon,115
2025-06-23,Morning,222
2025-01-12,Afternoon,175
2024-07-22,Afternoon,135
2024-04-16,Afternoon,69
2025-07-15,Night,68
2026-11-04,Night,90
2024-08-05,Night,56
2025-03-19,Afternoon,97
2024-09-03,Afternoon,63
2026-06-05,Afternoon,107
2025-03-30,Morning,62
2026-12-03,Night,52
2024-09-25,Night,57
2024-03-29,Morning,88
2025-09-30,Night,44
2025-12-15,Night,60
2026-12-21,Afternoon,132
2026-08-13,Night,76
2026-08-27,Morning,101
2025-11-26,Morning,90
2025-01-29,Morning,68
2025-04-15,Afternoon,87
2024-05-26,Morning,92
2025-04-17,Night,82
2025-02-03,Morning,131
2024-02-09,Morning,69
2024-08-12,Afternoon,82
2025-08-08,Morning,139
2025-02-08,Afternoon,87
2026-12-24,Morning,156
2025-06-08,Night,46
2026-11-16,Afternoon,98
2025-12-25,Morning,84
2024-02-14,Morning,60
2024-08-10,Morning,207
2026-02-12,Night,30
2025-08-20,Afternoon,55
2024-11-26,Afternoon,95
2025-07-26,Morning,128
2026-09-16,Night,84
2025-03-02,Morning,54
2024-02-19,Afternoon,55
2024-12-06,Night,72
2026-10-22,Morning,59
2026-04-14,Afternoon,84
2026-07-06,Morning,139
2026-09-26,Morning,79
2024-05-08,Night,85
2024-11-05,Afternoon,95
2024-03-06,Night,54
2024-01-06,Afternoon,94
2026-07-03,Morning,134
2026-10-23,Afternoon,89
2024-06-19,Afternoon,164
2026-03-02,Morning,103
2025-08-09,Afternoon,55
2024-03-16,Afternoon,134
2026-09-30,Afternoon,70
2026-08-12,Morning,137
2025-09-13,Night,88
2026-02-14,Morning,67
2025-03-11,Morning,147
2026-05-18,Morning,72
2025-05-02,Night,48
2026-12-20,Morning,140
2024-03-10,Afternoon,112
2024-07-07,Morning,98
2026-11-27,Afternoon,68
2024-11-12,Night,40
2024-12-06,Morning,169
2026-05-17,Night,65
2024-07-26,Morning,135
2025-07-16,Morning,120
2024-11-09,Afternoon,64
2024-08-04,Afternoon,96
2026-11-22,Morning,72
2024-08-07,Afternoon,59
2024-04-13,Morning,89
2026-01-08,Afternoon,77
2026-08-08,Afternoon,92
2024-05-19,Night,58
2026-02-14,Afternoon,60
2025-08-15,Afternoon,117
2026-06-28,Afternoon,70
2024-05-19,Morning,147
2026-12-05,Morning,89
2025-11-09,Night,63
2026-07-12,Morning,132
2025-01-31,Night,65
2026-10-30,Morning,118
2025-11-17,Night,50
2024-05-19,Morning,174
2026-10-08,Night,51
2026-05-22,Afternoon,63
2024-11-25,Morning,130
2025-08-21,Afternoon,116
2025-03-01,Afternoon,71
2025-08-18,Morning,99
2026-11-24,Morning,41
2026-09-12,Afternoon,52
2024-08-24,Afternoon,146
2026-12-01,Morning,130
2025-04-24,Night,106
2026-02-11,Morning,57
2026-04-17,Morning,53
2025-06-13,Afternoon,133
2025-05-15,Morning,109
2025-05-15,Morning,117
2026-08-03,Afternoon,90
2025-02-27,Morning,78
2024-11-02,Morning,79
2025-01-31,Afternoon,54
2024-08-01,Afternoon,119
2025-03-05,Night,77
2024-05-05,Afternoon,48
2024-04-08,Afternoon,60
2026-03-04,Morning,58
2024-03-25,Night,47
2025-09-14,Morning,137
2026-05-04,Morning,93
2026-03-05,Night,47
2025-05-03,Afternoon,86
2024-07-31,Afternoon,179
2026-10-17,Morning,106
2026-07-04,Morning,180
2025-11-01,Afternoon,164
2024-04-05,Afternoon,111
2024-02-08,Afternoon,43
2024-12-11,Morning,120
2024-06-21,Morning,114
2026-07-31,Afternoon,95
2024-08-13,Afternoon,51
2024-11-05,Morning,113
2026-12-05,Morning,147
2026-06-15,Morning,188
2024-08-27,Morning,96
2025-02-24,Afternoon,44
2025-07-19,Morning,157
2025-12-29,Afternoon,167
2026-10-23,Night,58
2026-08-12,Night,50
2026-12-07,Night,74
2024-02-14,Morning,72
2024-09-16,Morning,143
2025-09-09,Morning,84
2024-02-23,Afternoon,82
2025-01-24,Morning,125
2024-06-17,Morning,147
2026-10-19,Morning,137
2024-03-10,Morning,76
2024-06-11,Afternoon,82
2024-08-01,Afternoon,70
2024-06-11,Afternoon,130
2025-09-15,Night,70
2025-02-03,Morning,83
2026-09-27,Morning,117
2024-10-12,Morning,113
2025-08-11,Afternoon,125
2025-12-24,Afternoon,70
2025-11-17,Morning,100
2026-05-22,Night,54
2024-08-09,Morning,143
2025-07-10,Morning,80
2026-05-27,Afternoon,43
2026-08-03,Night,42
2025-11-08,Afternoon,125
2025-12-15,Night,45
2026-08-05,Morning,198
2025-11-15,Afternoon,91
2026-11-05,Night,65
2024-05-19,Afternoon,76
2025-01-16,Morning,93
2024-05-02,Night,70
2024-04-09,Morning,114
2025-06-01,Afternoon,78
2024-09-04,Night,110
2025-03-22,Night,36
2025-04-24,Night,78
2025-11-11,Night,54
2026-11-02,Morning,78
2026-07-19,Night,96
2025-02-18,Afternoon,88
2024-12-22,Afternoon,75
2026-04-24,Morning,117
2024-05-15,Night,53
2025-08-15,Afternoon,129
2025-04-08,Night,67
2024-07-19,Morning,122
2025-11-06,Morning,196
2024-12-17,Afternoon,137
2024-07-22,Morning,155
2025-12-16,Afternoon,86
2024-07-09,Morning,74
2026-01-07,Afternoon,73
2024-06-26,Morning,60
2025-04-21,Morning,83
2026-06-04,Afternoon,141
2024-09-07,Morning,83
2026-04-21,Morning,102
2026-03-02,Morning,83
2026-09-16,Morning,131
2024-07-04,Afternoon,78
2026-02-22,Morning,157
2026-10-23,Morning,104
2026-04-16,Afternoon,121
2024-07-24,Afternoon,129
2026-06-20,Afternoon,190
2024-04-27,Morning,137
2025-10-07,Night,56
2025-06-29,Afternoon,138
2025-08-05,Morning,144
2025-07-23,Night,62
2024-02-04,Afternoon,87
2025-07-10,Afternoon,103
2026-10-23,Night,74
2025-04-23,Morning,95
2024-10-30,Night,32
2026-12-26,Afternoon,111
2024-04-18,Morning,141
2025-06-16,Morning,84
2025-07-15,Morning,155
2025-06-07,Night,62
2026-10-07,Morning,71
2025-04-07,Morning,108
2026-12-02,Afternoon,123
2024-03-14,Afternoon,107
2026-03-15,Morning,127
2025-10-11,Night,77
2024-09-20,Afternoon,83
2024-09-06,Night,66
2026-02-27,Morning,61
2025-11-29,Morning,159
2025-10-31,Afternoon,126
2024-02-25,Morning,83
2025-10-17,Afternoon,133
2026-12-11,Morning,199
2024-01-19,Night,42
2025-05-29,Night,60
2025-06-25,Night,47
2026-09-09,Night,55
2024-11-05,Night,71
2025-06-05,Afternoon,154
2026-02-25,Morning,173
2024-03-07,Night,60
2026-05-27,Night,64
2026-06-20,Night,82
2026-02-27,Night,58
2025-12-11,Morning,148
2026-03-30,Night,31
2026-05-06,Night,62
2026-09-17,Afternoon,44
2025-04-14,Night,71
2025-05-14,Afternoon,66
2025-11-30,Night,51
2024-07-30,Morning,129
2026-07-27,Night,78
2026-04-24,Morning,122
2025-11-22,Morning,158
2024-11-26,Morning,109
2025-01-16,Afternoon,54
2025-04-21,Morning,95
2025-12-27,Night,63
2026-05-02,Afternoon,133
2026-01-06,Night,46
2026-10-16,Morning,149
2026-11-18,Morning,66
2026-02-11,Night,45
2025-02-10,Afternoon,57
2025-10-18,Afternoon,101
2025-04-10,Night,68
2025-11-20,Night,96
2026-06-09,Afternoon,166
2025-02-08,Night,47
2025-07-08,Afternoon,69
2024-02-20,Afternoon,75
2026-03-18,Morning,84
2025-06-20,Morning,132
2025-05-18,Morning,100
2025-08-06,Night,52
2024-08-24,Afternoon,88
2025-10-17,Morning,114
2026-03-27,Afternoon,84
2025-01-18,Morning,84
2024-05-23,Morning,103
2025-02-27,Night,66
2024-08-05,Afternoon,128
2025-02-13,Morning,112
2025-11-18,Afternoon,69
2024-05-04,Morning,83
2026-03-30,Afternoon,135
2024-09-03,Night,80
2026-09-07,Afternoon,78
2026-03-13,Afternoon,80
2024-10-25,Morning,71
2025-09-09,Afternoon,143
2024-05-01,Morning,62
2024-04-19,Morning,89
2026-11-13,Night,55
2026-05-29,Afternoon,101
2024-06-18,Afternoon,166
2024-11-05,Morning,134
2024-08-04,Night,60
2025-03-09,Morning,105
2024-11-15,Afternoon,65
2024-12-25,Night,71
2025-08-03,Afternoon,110
2024-07-26,Night,70
2026-08-25,Morning,147
2026-03-08,Afternoon,148
2026-04-13,Night,74
2024-07-04,Afternoon,194
2026-02-15,Afternoon,75
2026-07-05,Morning,127
2024-07-10,Night,61
2026-04-03,Night,44
2025-01-27,Afternoon,59
2026-05-13,Night,78
2025-06-08,Afternoon,70
2026-05-29,Afternoon,79
2024-06-10,Morning,185
2025-03-02,Afternoon,70
2024-10-26,Night,65
2024-09-29,Afternoon,65
2024-12-03,Morning,92
2025-02-23,Afternoon,178
2024-05-19,Night,58
2026-02-13,Night,36
2025-08-26,Morning,123
2026-06-27,Morning,141
2026-02-11,Afternoon,79
2024-06-12,Morning,184
2024-03-17,Night,73
2025-04-08,Afternoon,67
2025-06-11,Afternoon,159
2024-09-20,Morning,143
2026-05-07,Afternoon,84
2025-09-29,Night,61
2026-03-30,Afternoon,105
2024-04-29,Morning,127
2026-06-12,Morning,126
2024-08-13,Night,48
2025-05-06,Night,65
2025-04-26,Morning,189
2026-06-18,Afternoon,66
2024-10-30,Morning,57
2024-09-20,Afternoon,77
2025-01-07,Morning,83
2025-01-30,Night,43
2024-07-18,Night,81
2024-07-12,Morning,122
2024-09-10,Afternoon,79
2025-05-27,Morning,79
2025-01-11,Morning,127
2025-03-05,Morning,44
2026-02-27,Morning,91
2024-09-21,Night,62
2026-09-24,Morning,118
2026-04-03,Night,61
2024-07-10,Morning,110
2024-12-09,Afternoon,183
2024-07-20,Afternoon,87
2024-10-25,Night,65
2025-02-04,Morning,174
2024-05-23,Morning,122
2024-01-16,Afternoon,98
2025-04-25,Afternoon,111
2026-02-07,Afternoon,58
2024-11-28,Morning,204
2026-08-01,Morning,84
2025-02-08,Night,59
2026-09-14,Afternoon,103
2024-09-15,Afternoon,81
2025-08-14,Morning,91
2026-04-16,Morning,53
2024-03-05,Night,69
2026-10-16,Afternoon,77
2025-02-03,Morning,125
2025-06-29,Night,75
2025-11-19,Afternoon,97
2025-12-05,Morning,227
2024-01-26,Morning,69
2026-08-08,Afternoon,75
2025-11-14,Morning,83
2026-12-30,Afternoon,121
2025-05-31,Afternoon,105
2025-11-03,Morning,70
2025-04-28,Night,69
2026-09-02,Morning,133
2026-07-01,Afternoon,76
2026-09-22,Afternoon,59
2025-07-06,Afternoon,122
2026-05-17,Afternoon,121
2025-01-28,Afternoon,88
2025-05-20,Night,85
2026-04-13,Night,72
2024-03-29,Night,48
2026-02-17,Morning,77
2024-01-18,Afternoon,75
2025-09-28,Afternoon,36
2025-06-07,Morning,140
2025-05-28,Night,52
2025-06-25,Morning,63
2025-06-23,Morning,95
2025-03-22,Morning,70
2025-05-09,Morning,96
2025-09-14,Morning,53
2026-04-16,Afternoon,103
2025-08-28,Afternoon,155
2025-12-05,Morning,182
2026-07-05,Morning,66
2026-12-20,Night,91
2024-04-29,Morning,65
2026-02-20,Afternoon,55
2024-09-03,Afternoon,112
2024-08-03,Afternoon,123
2026-05-19,Night,59
2024-03-16,Afternoon,58
2026-07-18,Night,42
2026-04-24,Night,38
2026-12-26,Morning,143
2026-01-02,Morning,78
2026-08-14,Morning,76
2024-05-09,Morning,98
2026-09-02,Afternoon,96
2024-06-24,Morning,149
2024-12-10,Morning,166
2024-05-20,Morning,93
2025-03-16,Afternoon,60
2026-03-31,Afternoon,75
2024-10-20,Night,38
2026-06-20,Morning,69
2025-10-26,Morning,127
2025-11-20,Night,69
2026-10-25,Afternoon,126
2025-04-18,Afternoon,61
2025-01-12,Afternoon,73
2026-12-26,Morning,274
2025-09-02,Night,50
2025-11-04,Afternoon,69
2024-11-20,Afternoon,127
2024-08-24,Afternoon,129
2024-07-05,Morning,92
2024-09-02,Morning,90
2024-08-01,Night,49
2026-03-29,Afternoon,69
2024-03-04,Morning,73
2025-11-20,Morning,107
2026-11-06,Night,83
2026-04-19,Morning,156
2025-03-17,Afternoon,87
2024-03-06,Afternoon,62
2026-07-03,Night,87
2024-01-04,Afternoon,116
2026-01-16,Night,62
2026-01-05,Morning,92
2024-07-29,Night,59
2026-03-21,Night,71
2024-07-11,Afternoon,88
2024-09-04,Afternoon,94
2026-06-08,Morning,155
2026-12-09,Afternoon,53
2024-10-17,Morning,96
2026-10-06,Morning,136
2026-09-27,Night,69
2026-04-23,Morning,52
2024-06-02,Afternoon,74
2024-11-24,Morning,84
2026-01-12,Morning,124
2026-12-31,Morning,202
2026-06-11,Morning,122
2025-04-05,Afternoon,65
2024-09-14,Night,37
2026-11-18,Afternoon,102
