date,shift,scheduled_arrivals,scheduled_departures,international_flights,domestic_flights,wide_body_count,narrow_body_count,expected_passengers,cargo_tonnage,mail_tonnage,dangerous_goods_tonnage,weather_severity_index,wind_speed,visibility_km,rainfall_mm,equipment_utilization_rate,equipment_breakdown_count,active_gates,occupied_gates,staff_absenteeism_rate,delay_minutes,workload_index,required_ground_crew_count
2025-12-15,Night,48,56,23,81,5,103,11128,52.16,14.95,1.57,1.56,20.9,18.47,0.0,60.84,2,58,28,1.44,16.4,26.01,106
2026-12-21,Afternoon,77,66,48,95,16,129,23782,91.41,22.93,0.24,1.35,13.6,15.62,12.1,89.41,0,74,68,3.28,118.8,47.76,187
2026-08-13,Night,49,30,16,63,5,70,11896,45.67,6.64,1.08,1.8,30.5,18.12,1.7,62.33,7,62,39,4.65,42.0,27.11,123
2026-08-27,Morning,59,66,43,82,6,118,24744,53.82,19.1,0.95,5.43,31.7,12.53,38.1,90.1,1,81,58,4.08,62.4,51.02,179
2025-11-26,Morning,59,65,43,81,11,109,20186,67.13,12.08,1.78,1.44,18.9,16.77,4.9,72.76,2,69,48,3.53,36.4,39.66,160
2025-01-29,Morning,46,45,20,71,8,86,16678,98.96,5.67,1.44,1.97,15.5,15.76,15.2,62.4,4,91,37,3.8,30.1,34.24,141
2025-04-15,Afternoon,68,73,56,85,15,124,27747,126.25,19.31,1.25,0.15,12.6,18.96,2.7,82.64,0,87,67,3.57,39.0,49.12,183
2024-05-26,Morning,45,54,27,72,8,87,17719,85.09,12.17,1.22,1.33,18.4,17.36,1.8,63.46,7,54,35,1.83,67.9,38.16,147
2025-04-17,Night,60,41,28,73,6,100,15534,73.12,14.03,0.33,5.55,28.9,10.88,48.9,64.94,2,48,26,5.76,49.3,39.15,137
2025-02-03,Morning,80,71,62,89,12,143,27693,177.98,16.75,0.65,2.84,19.4,17.83,2.3,94.5,1,67,53,2.93,82.2,60.23,200
2024-02-09,Morning,52,38,27,63,6,88,13467,74.12,6.91,0.9,0.95,6.3,18.52,3.4,68.4,0,80,49,2.01,9.0,23.9,114
2024-08-12,Afternoon,49,46,22,73,10,81,16399,84.8,15.15,1.3,5.51,26.8,9.37,55.5,69.53,0,73,39,4.28,39.0,37.53,146
2025-08-08,Morning,84,71,50,105,17,135,26677,162.01,16.69,1.32,0.64,9.8,17.66,1.9,81.86,0,70,59,4.88,158.5,55.77,205
2025-02-08,Afternoon,47,46,23,70,6,88,19386,93.13,16.45,1.98,2.77,19.7,16.36,16.2,76.84,2,64,37,1.42,27.9,36.82,135
2026-12-24,Morning,76,87,73,90,28,137,26296,330.16,16.33,1.52,0.3,2.5,17.77,0.0,84.8,2,61,48,4.6,91.2,64.62,241
2025-06-08,Night,37,30,13,54,4,66,13375,30.34,11.92,0.25,0.89,21.3,15.44,0.0,49.06,1,62,33,3.76,8.7,18.24,95
2026-11-16,Afternoon,49,52,33,68,11,85,14511,115.47,9.0,0.83,2.32,19.0,17.48,2.5,74.7,0,90,47,6.35,16.2,31.7,141
2025-12-25,Morning,52,46,23,75,6,96,23787,65.2,10.33,0.4,2.16,24.5,15.95,17.0,73.05,0,67,48,3.71,56.8,38.57,150
2024-02-14,Morning,43,40,20,63,4,75,17470,23.3,9.62,1.64,2.14,34.5,17.08,3.8,82.47,0,88,45,1.98,25.6,26.78,121
2024-08-10,Morning,97,97,72,122,15,179,35000,336.0,23.03,0.35,4.77,29.6,14.06,28.3,87.63,0,58,52,2.08,247.0,89.31,260
2026-02-12,Night,18,20,8,30,3,34,6654,22.17,4.47,0.95,1.97,26.0,16.51,4.0,59.28,1,95,27,1.6,8.1,7.87,66
2025-08-20,Afternoon,39,47,22,64,7,79,12433,61.51,16.36,1.28,2.75,19.2,16.32,10.9,54.16,0,49,26,5.61,10.9,24.96,121
2024-11-26,Afternoon,70,54,37,87,12,116,23334,124.69,16.36,1.36,0.39,6.2,19.08,0.0,81.14,0,96,74,4.26,36.8,41.96,165
2025-07-26,Morning,90,78,62,106,15,148,34423,128.52,23.88,0.01,2.09,9.7,16.0,5.3,93.15,1,71,58,2.1,85.6,66.33,217
2026-09-16,Night,38,45,17,66,3,76,14201,52.13,12.61,6.93,2.76,42.7,16.25,0.1,61.52,6,103,67,3.74,87.8,32.41,133
2025-03-02,Morning,35,37,17,55,4,68,12251,57.13,12.22,1.54,1.71,24.9,15.1,0.6,55.84,0,65,25,1.92,5.1,19.94,98
2024-02-19,Afternoon,36,34,14,56,4,62,10400,61.62,13.4,1.03,1.86,12.4,17.6,5.9,63.83,1,87,32,6.28,20.5,19.38,101
2024-12-06,Night,53,48,29,72,8,97,16627,66.51,14.23,0.25,0.27,12.0,18.67,1.8,67.32,1,91,66,1.52,45.6,29.02,122
2026-10-22,Morning,41,43,22,62,8,79,14950,80.82,6.4,0.45,0.8,9.5,18.37,2.1,58.94,0,92,53,1.35,6.3,24.29,111
2026-04-14,Afternoon,56,52,35,73,11,98,20165,86.11,15.76,0.22,2.22,16.4,17.91,3.2,73.76,0,83,61,1.33,38.7,37.49,144
2026-07-06,Morning,71,66,53,84,15,117,26664,111.87,10.7,13.26,5.4,19.2,10.18,55.7,81.5,1,92,79,1.81,116.8,59.01,214
2026-09-26,Morning,57,47,32,72,8,96,22675,61.59,15.02,1.74,1.69,6.6,17.67,7.3,78.77,1,73,41,2.4,13.2,37.41,143
2024-05-08,Night,56,51,27,80,10,100,17512,112.15,9.58,1.31,2.87,11.9,16.41,4.8,89.27,2,68,42,2.18,24.6,38.52,140
2024-11-05,Afternoon,72,55,39,88,13,116,23936,114.38,16.73,0.5,0.47,2.7,18.41,4.7,75.13,0,99,74,3.54,25.2,42.5,160
2024-03-06,Night,49,42,21,70,3,90,12627,71.26,10.35,0.93,0.39,23.9,18.21,0.0,65.23,2,73,28,2.43,15.0,23.85,100
2024-01-06,Afternoon,55,46,28,73,10,87,14315,88.44,17.0,1.44,0.73,9.5,17.79,1.9,64.45,0,76,48,3.46,6.3,26.98,125
2026-07-03,Morning,66,65,52,79,18,114,17328,259.05,18.66,1.54,4.07,22.1,16.88,4.4,66.44,6,75,42,1.61,102.5,57.08,199
2026-10-23,Afternoon,53,42,23,72,7,87,21708,51.56,6.42,0.42,4.95,31.7,16.9,0.9,86.94,1,70,38,6.74,28.7,40.81,154
2024-06-19,Afternoon,56,58,34,80,11,103,23766,109.04,14.88,0.58,4.37,42.3,13.03,30.9,68.83,1,61,54,6.66,105.9,49.63,188
2026-03-02,Morning,66,75,58,83,20,121,28971,157.82,25.85,1.3,2.6,37.0,17.29,1.1,80.89,0,97,81,6.39,88.0,57.56,218
2025-08-09,Afternoon,44,58,24,78,5,96,19393,64.94,13.23,0.86,0.43,7.7,18.73,0.0,69.11,2,99,51,1.33,6.4,32.23,123
2024-03-16,Afternoon,93,77,76,94,17,154,27552,206.9,26.78,1.95,1.96,11.6,15.48,16.2,84.02,1,76,53,1.45,63.3,62.89,209
2026-09-30,Afternoon,41,45,24,62,7,81,13257,97.74,10.78,23.99,1.99,16.3,18.01,1.3,74.32,1,89,44,4.37,18.0,27.12,143
2026-08-12,Morning,70,65,44,91,13,118,23546,75.89,14.36,1.79,0.66,21.0,18.45,6.0,79.06,7,57,41,1.24,105.6,49.62,188
2025-09-13,Night,39,42,18,63,6,71,15518,48.17,13.46,1.47,5.08,52.7,16.54,2.5,61.54,2,99,52,4.5,23.3,32.86,129
2026-02-14,Morning,42,52,32,62,6,84,15205,114.95,10.17,0.83,0.11,6.8,18.32,9.9,69.26,2,85,32,4.4,10.0,28.46,126
2025-03-11,Morning,103,95,75,123,24,172,35000,215.75,24.26,0.35,2.35,19.1,17.82,4.3,85.21,0,91,77,3.35,74.5,76.0,246
2026-05-18,Morning,48,49,29,68,7,91,16400,73.68,6.45,0.36,1.69,24.2,18.06,3.3,64.11,0,88,51,1.37,3.2,29.37,122
2025-05-02,Night,32,38,21,49,4,65,8585,35.82,8.87,0.02,2.79,19.7,15.23,22.3,55.57,2,59,20,3.34,28.2,19.07,93
2026-12-20,Morning,65,73,50,88,17,125,31593,131.7,17.32,1.66,1.13,5.3,16.94,0.0,85.77,0,73,65,4.59,67.9,55.18,203
2024-03-10,Afternoon,54,60,36,78,11,106,22596,148.62,14.51,7.38,1.93,17.8,18.23,0.5,68.94,1,83,59,1.91,22.9,44.01,160
2024-07-07,Morning,72,59,57,74,12,123,20645,310.63,15.64,1.29,0.48,11.7,18.8,1.7,80.09,0,95,65,1.07,50.7,50.02,175
2026-11-27,Afternoon,44,44,19,69,5,79,13250,68.92,9.68,1.89,0.63,29.1,16.92,4.4,55.28,1,70,33,6.1,13.1,23.39,115
2024-11-12,Night,42,27,15,54,4,66,10638,61.05,6.52,1.52,0.11,11.5,18.04,3.9,54.71,1,62,22,4.01,11.6,15.92,89
2024-12-06,Morning,92,100,79,113,23,174,35000,271.99,26.56,1.12,0.53,29.0,18.54,0.0,100.0,0,77,66,1.86,140.6,75.58,249
2026-05-17,Night,40,56,20,76,4,95,18967,45.19,12.22,1.28,0.18,8.9,16.95,5.9,66.24,1,76,37,6.03,4.2,28.38,116
2024-07-26,Morning,68,69,43,94,8,134,19451,163.06,17.51,0.1,4.84,27.8,13.94,4.1,84.02,2,90,67,6.73,207.2,55.93,191
2025-07-16,Morning,66,69,45,90,16,119,27927,145.44,21.09,1.15,2.58,24.4,18.03,2.7,90.78,1,88,64,2.61,38.3,54.58,196
2024-11-09,Afternoon,65,44,35,74,11,97,21783,85.19,17.68,0.25,0.17,7.6,18.05,1.6,73.17,2,97,56,1.76,7.1,36.39,142
2024-08-04,Afternoon,53,47,26,74,12,87,25485,83.45,8.13,0.4,1.85,11.2,17.71,1.6,69.12,1,85,60,5.08,27.2,41.15,159
2026-11-22,Morning,31,54,21,64,5,81,13876,75.22,11.9,1.36,1.56,6.7,14.69,8.4,63.83,0,90,51,1.72,6.4,24.56,108
2024-08-07,Afternoon,41,45,24,62,2,86,11797,77.52,14.57,10.11,0.11,24.3,16.66,9.5,53.51,2,54,28,5.58,29.1,22.18,120
2024-04-13,Morning,54,43,29,68,14,83,21352,105.17,13.49,1.99,0.88,14.1,18.63,0.0,80.03,0,82,55,6.13,26.2,34.83,157
2026-01-08,Afternoon,62,53,27,88,7,104,22276,85.68,16.09,1.4,1.99,13.3,16.34,17.3,78.62,2,103,78,6.3,31.4,41.96,159
2026-08-08,Afternoon,49,48,27,70,7,90,13955,60.8,10.1,1.96,1.1,17.6,18.63,0.0,59.77,7,79,41,4.03,64.7,32.32,140
2024-05-19,Night,38,39,20,57,5,69,11310,64.43,11.99,1.74,1.88,32.7,18.17,1.1,48.8,14,60,30,4.64,96.8,34.24,139
2026-02-14,Afternoon,32,43,17,58,6,66,21526,74.51,5.36,1.42,2.05,11.1,17.57,0.8,70.45,2,96,55,6.31,15.5,33.19,137
2025-08-15,Afternoon,91,73,67,97,19,148,24626,157.66,20.91,1.76,2.38,29.3,12.18,5.0,89.49,7,96,83,2.76,81.0,62.66,223
2026-06-28,Afternoon,44,62,35,71,7,96,18454,128.59,8.81,0.02,0.15,28.9,18.8,4.9,67.91,1,68,43,1.02,20.7,34.02,136
2024-05-19,Morning,69,67,50,86,10,124,25595,95.86,18.59,1.06,4.2,14.3,16.9,4.9,82.67,2,75,61,6.63,67.9,54.53,190
2026-12-05,Morning,64,52,36,80,11,104,20167,149.85,10.95,0.55,4.73,28.5,13.46,33.9,76.03,1,64,40,3.5,26.5,47.38,169
2025-11-09,Night,44,25,16,53,2,63,14348,63.07,13.21,1.0,2.78,22.2,17.61,4.1,59.23,1,79,25,15.22,25.4,25.08,121
2026-07-12,Morning,79,63,39,103,9,133,29873,111.24,16.37,0.34,0.65,20.5,17.55,0.9,75.92,2,87,68,6.1,55.2,53.67,189
2025-01-31,Night,30,35,18,47,4,57,12452,56.78,7.04,1.92,2.48,10.6,14.88,28.3,52.67,2,79,40,4.87,28.0,22.48,107
2026-10-30,Morning,66,81,62,85,15,135,21898,206.38,15.98,1.76,2.39,18.5,15.19,22.5,84.42,0,59,48,1.47,103.8,53.84,195
2025-11-17,Night,33,40,20,53,3,72,10119,64.34,14.5,0.66,2.09,35.5,17.57,4.8,60.31,0,73,30,1.71,14.7,19.26,89
2024-05-19,Morning,80,85,65,100,23,139,35000,232.7,21.93,1.8,2.5,15.3,16.85,12.5,88.01,0,88,82,3.98,74.1,71.11,245
2026-10-08,Night,38,33,17,54,8,65,10827,83.18,7.6,0.2,1.01,34.8,17.84,1.5,59.48,1,55,23,6.08,4.2,19.1,105
2026-05-22,Afternoon,38,35,17,56,3,73,12677,63.92,11.5,15.33,2.03,28.5,15.99,0.0,62.32,4,65,26,5.48,31.9,25.41,129
2024-11-25,Morning,83,72,61,94,14,137,32802,199.13,21.87,1.39,1.92,17.5,15.93,13.0,87.11,0,91,73,2.51,66.5,64.21,212
2025-08-21,Afternoon,67,59,50,76,18,105,19634,132.77,15.84,0.19,2.79,18.0,14.32,22.4,79.38,1,98,60,3.14,30.6,44.23,176
2025-03-01,Afternoon,52,54,24,82,4,99,18495,79.79,13.34,1.84,1.78,16.3,17.35,1.7,69.59,1,89,59,3.14,22.2,34.82,130
2025-08-18,Morning,77,66,55,88,22,116,22777,200.85,18.65,0.13,1.11,15.6,15.24,1.7,77.96,0,78,57,1.37,30.1,49.76,192
2026-11-24,Morning,40,26,13,53,0,66,9520,37.4,8.69,1.96,0.08,16.3,18.6,4.2,50.94,2,75,28,6.01,13.5,13.93,91
2026-09-12,Afternoon,40,30,14,56,3,65,13584,41.41,9.35,0.07,0.09,5.9,19.46,0.0,57.64,1,94,38,1.18,10.8,18.05,87
2024-08-24,Afternoon,84,91,68,107,23,156,35000,169.98,28.64,0.76,0.34,2.6,18.49,2.9,85.11,1,77,62,6.05,65.8,66.46,236
2026-12-01,Morning,58,79,42,95,11,131,23203,101.72,12.36,0.01,8.99,41.0,14.48,0.2,90.28,0,60,54,2.83,300.0,64.84,206
2025-04-24,Night,53,46,23,76,8,96,18397,83.35,10.62,1.55,0.56,27.0,17.03,0.0,70.52,2,70,49,4.15,32.1,32.35,133
2026-02-11,Morning,36,38,15,59,1,72,11567,37.4,13.13,1.49,2.05,23.6,17.85,5.2,61.86,2,88,50,2.27,26.1,21.43,104
2026-04-17,Morning,54,45,26,73,6,93,13115,56.95,15.47,0.0,4.74,20.5,13.19,34.0,65.32,1,91,51,3.18,38.1,32.96,130
2025-06-13,Afternoon,56,81,52,85,13,123,25259,222.85,15.66,17.79,2.1,14.3,17.77,2.0,72.06,0,65,49,2.27,40.6,54.32,199
2025-05-15,Morning,55,62,41,76,13,109,20941,186.76,19.51,0.25,2.98,14.7,13.83,35.2,73.52,0,94,66,14.42,38.9,46.24,191
2025-05-15,Morning,61,59,49,71,13,102,19717,135.53,11.79,0.93,2.04,12.0,15.41,22.4,77.6,0,69,50,5.56,47.2,41.46,168
2026-08-03,Afternoon,61,72,45,88,10,127,17364,130.31,9.83,0.54,2.86,18.3,17.11,6.9,80.87,1,98,70,6.05,58.8,43.83,167
2025-02-27,Morning,44,42,24,62,7,74,14940,115.81,7.47,0.82,2.36,28.9,15.47,14.4,59.91,6,58,25,4.26,36.2,34.95,143
2024-11-02,Morning,45,49,26,68,10,85,20162,101.24,11.06,1.37,2.11,16.6,17.85,4.5,57.75,1,46,25,1.32,6.1,35.63,137
2025-01-31,Afternoon,33,28,13,48,6,52,9659,36.84,6.71,0.14,1.79,17.7,15.64,14.7,61.35,13,62,17,1.27,132.0,28.06,126
2024-08-01,Afternoon,93,73,67,99,18,151,26403,164.61,25.6,1.39,2.72,14.9,16.06,3.7,82.78,1,77,53,4.07,82.7,60.8,210
2025-03-05,Night,54,49,33,70,10,92,13689,82.0,18.62,1.0,2.39,9.6,17.61,3.6,64.48,1,97,64,4.49,33.8,30.94,130
2024-05-05,Afternoon,32,46,20,58,6,75,11972,51.15,11.37,0.65,0.1,26.9,19.18,0.0,56.33,0,79,33,1.01,0.4,17.32,95
2024-04-08,Afternoon,40,40,18,62,3,80,13495,59.33,10.2,0.56,2.16,14.6,17.29,0.0,63.64,0,80,36,3.43,12.0,23.75,102
2026-03-04,Morning,45,49,27,67,16,76,13303,110.47,9.04,1.03,0.36,38.7,18.18,0.0,68.44,1,83,40,3.76,9.8,25.97,141
2024-03-25,Night,26,48,15,59,3,70,12133,44.33,9.98,1.06,2.08,14.5,16.57,8.9,64.57,0,73,22,16.03,8.0,20.33,116
2025-09-14,Morning,51,53,33,71,13,86,21778,95.23,18.19,1.56,5.1,27.1,12.22,42.9,72.01,2,55,38,2.04,112.4,47.5,173
2026-05-04,Morning,62,45,32,75,5,97,16076,60.3,14.63,0.83,2.28,23.5,17.32,7.5,62.81,1,87,56,4.17,25.0,32.62,132
2026-03-05,Night,30,37,13,54,2,66,7853,30.9,8.89,1.34,1.13,20.7,17.31,7.2,46.25,0,65,24,5.11,5.3,12.25,76
2025-05-03,Afternoon,45,48,24,69,3,93,19028,47.87,10.71,0.65,1.27,8.5,18.07,3.6,70.76,0,101,63,19.57,5.1,29.28,147
2024-07-31,Afternoon,106,110,94,122,30,180,35000,268.46,14.15,0.01,0.51,9.3,17.25,14.5,87.34,2,63,63,2.31,167.5,81.97,274
2026-10-17,Morning,53,60,35,78,12,102,25070,104.18,19.77,1.73,2.2,13.1,15.87,15.4,79.85,0,84,58,16.05,53.5,44.48,194
2026-07-04,Morning,82,92,70,104,22,154,35000,301.94,18.76,0.69,2.94,37.4,17.32,1.2,99.16,1,65,52,1.44,79.1,77.89,252
2025-11-01,Afternoon,66,72,47,91,11,130,29696,146.05,19.4,0.29,5.33,31.8,16.79,2.2,85.23,7,60,53,6.8,194.8,70.44,229
2024-04-05,Afternoon,71,53,40,84,9,110,25726,135.66,8.33,1.88,1.77,13.2,16.27,0.0,90.56,1,66,53,4.37,46.6,48.55,170
2024-02-08,Afternoon,37,21,14,44,3,53,11703,40.45,7.6,0.71,0.18,5.3,19.17,2.0,59.41,0,116,50,3.68,6.5,13.19,83
2024-12-11,Morning,87,74,59,102,19,137,33212,176.35,19.42,0.43,0.5,4.1,17.25,2.7,84.84,1,84,58,6.08,73.5,62.9,220
2024-06-21,Morning,59,70,39,90,5,121,21401,82.78,15.88,0.94,2.84,24.4,14.68,11.3,81.35,0,59,46,3.06,74.0,44.29,163
2026-07-31,Afternoon,63,71,36,98,9,127,20573,91.21,22.85,0.83,1.1,4.7,17.53,3.7,85.23,7,50,39,2.28,96.7,47.84,172
2024-08-13,Afternoon,39,57,23,73,2,91,11789,25.03,12.64,0.41,2.32,29.8,13.66,3.5,59.63,2,104,51,3.18,23.0,25.48,111
2024-11-05,Morning,63,66,39,90,9,116,24052,146.75,25.87,0.86,0.22,16.0,18.27,3.2,81.7,1,69,43,5.65,22.0,44.86,165
2026-12-05,Morning,82,86,55,113,13,151,28052,206.05,17.96,1.76,5.51,24.7,16.11,3.7,81.3,1,66,52,5.69,106.4,70.59,220
2026-06-15,Morning,74,96,59,111,19,156,27298,203.18,14.03,0.27,4.45,24.9,14.62,18.3,97.65,7,92,81,5.51,191.8,74.88,253
2024-08-27,Morning,65,59,37,87,10,118,26602,109.92,15.08,0.13,0.1,14.4,18.51,1.2,75.42,1,52,42,4.78,35.9,44.78,169
2025-02-24,Afternoon,29,41,14,56,5,69,12924,52.16,12.15,0.0,0.33,4.0,18.51,5.5,48.05,2,97,34,1.05,25.9,19.53,92
2025-07-19,Morning,77,69,62,84,19,125,32988,268.62,11.14,0.77,1.87,29.7,16.49,0.0,70.29,1,91,73,1.45,84.0,67.25,220
2025-12-29,Afternoon,99,120,73,146,28,180,34607,167.94,24.69,14.66,0.58,44.2,19.18,0.5,82.37,0,99,81,1.72,101.5,74.31,264
2026-10-23,Night,41,39,21,59,3,74,9676,63.74,7.8,8.4,1.67,13.2,18.34,1.2,64.78,0,87,49,3.34,14.7,19.25,98
2026-08-12,Night,42,48,25,65,8,83,11045,79.38,16.59,1.55,2.33,15.1,17.74,3.0,57.24,0,87,30,2.83,14.5,24.45,106
2026-12-07,Night,56,46,32,70,13,93,16042,111.65,21.89,0.33,2.49,19.2,17.76,4.8,67.49,2,88,53,3.93,37.7,35.67,144
2024-02-14,Morning,42,49,24,67,8,88,17604,57.18,10.56,0.46,1.68,10.0,15.41,14.6,70.72,0,101,67,1.25,16.1,28.94,127
2024-09-16,Morning,78,56,54,80,19,113,26993,215.04,8.13,1.67,2.93,30.1,16.1,13.9,72.47,2,71,65,3.26,63.1,58.85,213
2025-09-09,Morning,62,43,31,74,11,95,17983,57.32,12.64,0.65,0.05,8.3,16.9,2.6,65.94,0,64,50,3.12,61.7,29.74,138
2024-02-23,Afternoon,50,43,24,69,7,84,16656,72.8,12.54,0.18,1.99,13.8,16.95,12.8,64.25,2,57,36,4.1,16.4,31.37,133
2025-01-24,Morning,77,49,49,77,14,112,24709,136.41,9.7,0.05,5.59,18.6,11.69,46.6,86.99,0,67,56,1.84,108.7,55.6,190
2024-06-17,Morning,71,67,49,89,19,120,25921,250.09,21.13,0.77,0.99,15.3,18.48,0.0,82.74,1,103,84,3.09,91.9,56.31,206
2026-10-19,Morning,64,66,37,93,18,107,23821,165.62,26.2,0.18,4.29,17.5,13.29,33.8,88.75,2,66,49,2.56,90.5,55.7,198
2024-03-10,Morning,45,40,23,62,7,76,15695,72.13,15.76,1.6,0.83,26.7,18.51,4.2,59.32,1,88,47,3.35,8.4,25.73,121
2024-06-11,Afternoon,38,51,27,62,10,76,21274,54.41,12.89,0.24,1.97,22.0,16.27,15.4,75.69,0,79,45,5.39,8.6,32.52,145
2024-08-01,Afternoon,64,59,43,80,10,114,17388,87.6,20.86,0.52,2.5,38.3,16.29,6.6,71.38,0,107,57,6.38,15.0,37.54,157
2024-06-11,Afternoon,61,59,38,82,11,109,20969,130.17,14.39,0.1,4.53,19.8,12.69,36.4,87.37,0,81,62,1.68,105.0,48.38,169
2025-09-15,Night,32,31,14,49,9,57,11874,68.31,6.32,22.46,4.98,25.4,13.64,29.8,60.64,1,47,25,2.84,34.3,26.11,133
2025-02-03,Morning,55,67,44,78,13,109,17905,147.34,18.66,0.89,1.79,9.3,16.54,13.6,74.72,0,75,45,2.83,6.5,39.25,157
2026-09-27,Morning,75,63,44,94,14,127,20082,129.44,22.82,0.41,1.94,18.5,16.32,18.5,66.39,0,90,65,6.29,33.9,44.32,175
2024-10-12,Morning,68,66,37,97,7,130,19274,66.18,12.31,1.0,1.25,12.4,16.75,6.5,83.05,0,67,58,5.85,87.3,39.53,157
2025-08-11,Afternoon,76,70,53,93,14,127,23176,162.26,15.87,0.02,4.16,19.7,14.04,29.6,85.92,6,120,97,6.02,93.8,60.96,212
2025-12-24,Afternoon,58,40,31,67,8,95,12077,108.12,14.42,0.9,5.68,27.3,10.84,48.8,61.02,2,46,21,2.59,54.4,37.18,139
2025-11-17,Morning,46,54,24,76,13,84,19434,98.06,22.69,0.85,9.2,42.4,14.63,1.7,74.98,1,81,47,7.16,72.4,50.65,181
2026-05-22,Night,28,34,12,50,2,57,11200,36.99,6.54,12.3,1.75,8.7,17.31,0.0,57.23,2,59,18,3.79,17.3,18.11,93
2024-08-09,Morning,73,72,55,90,20,128,30228,174.65,22.0,0.52,0.31,10.2,16.69,22.7,76.51,0,81,70,1.31,91.2,56.1,207
2025-07-10,Morning,57,70,42,85,7,119,17314,114.46,10.46,1.57,1.22,9.0,18.46,3.2,69.49,0,57,34,5.6,7.1,36.9,147
2026-05-27,Afternoon,48,29,16,61,5,75,9133,45.98,11.84,0.67,0.58,9.8,17.65,7.2,55.97,2,69,35,1.09,37.3,17.39,90
2026-08-03,Night,40,25,17,48,3,60,10336,39.0,7.51,1.15,2.44,33.7,13.76,16.8,61.38,1,48,19,5.11,20.6,18.42,102
2025-11-08,Afternoon,58,63,37,84,10,116,22930,134.37,10.69,1.08,2.63,10.7,17.91,3.2,70.47,2,50,31,1.73,34.6,47.33,157
2025-12-15,Night,33,40,18,55,2,73,10890,28.96,7.27,0.85,2.88,23.7,15.35,18.8,55.51,1,69,27,4.0,24.0,20.84,95
2026-08-05,Morning,107,112,95,124,20,180,35000,200.0,40.0,1.4,2.92,31.4,15.24,23.6,92.94,7,70,62,1.44,149.9,87.58,278
2025-11-15,Afternoon,48,54,28,74,5,96,16649,62.36,12.88,0.52,1.55,6.7,17.9,2.4,68.42,12,59,34,6.23,113.9,42.1,160
2026-11-05,Night,66,47,39,74,9,108,20871,70.5,8.63,22.63,0.51,9.6,15.21,7.5,78.15,2,76,43,3.32,23.8,36.49,159
2024-05-19,Afternoon,46,53,30,69,8,86,23605,109.26,10.58,0.77,0.04,18.5,19.28,0.0,72.3,0,73,53,2.22,38.8,36.32,139
2025-01-16,Morning,55,54,34,75,11,93,18802,152.89,25.68,1.74,4.39,24.2,12.35,23.1,69.99,2,38,23,3.86,62.8,45.85,170
2024-05-02,Night,48,41,22,67,7,83,17583,77.51,6.63,0.76,2.46,20.9,16.99,10.0,61.95,0,61,37,3.51,16.3,31.02,121
2024-04-09,Morning,74,83,69,88,19,141,21324,154.19,21.05,0.04,0.21,11.4,19.02,3.4,92.17,2,62,46,2.46,81.6,49.63,196
2025-06-01,Afternoon,54,53,36,71,11,92,20999,93.23,32.33,0.8,1.83,21.8,17.56,2.3,67.98,1,74,50,3.61,38.0,38.58,154
2024-09-04,Night,65,61,47,79,15,111,24311,153.53,10.78,1.03,2.96,10.4,14.6,21.3,81.84,1,80,70,1.44,111.6,51.96,176
2025-03-22,Night,20,23,9,34,3,41,8829,29.75,5.71,18.65,1.12,14.9,18.19,3.5,52.5,2,82,24,3.93,13.1,10.66,90
2025-04-24,Night,50,42,22,70,10,87,13415,100.83,10.35,1.25,1.95,10.2,16.72,10.0,65.38,2,75,40,4.15,22.4,29.36,128
2025-11-11,Night,38,30,14,54,4,63,14970,39.97,12.54,1.6,1.56,10.7,17.04,13.1,63.02,2,54,19,4.57,8.6,22.59,105
2026-11-02,Morning,56,57,38,75,6,108,19258,112.73,14.51,14.0,2.32,11.5,14.17,18.3,76.69,0,76,51,5.64,47.5,39.16,166
2026-07-19,Night,58,56,34,80,10,99,19751,102.35,17.75,0.2,2.29,19.9,17.05,6.1,75.28,0,77,59,12.07,24.0,38.78,163
2025-02-18,Afternoon,64,74,51,87,16,126,24161,141.77,14.58,0.97,0.99,9.9,18.36,2.9,83.89,0,58,43,1.15,51.7,47.61,176
2024-12-22,Afternoon,37,45,28,54,5,78,14030,119.95,7.92,1.22,5.5,27.6,11.84,43.3,53.68,2,114,52,1.82,60.3,36.6,128
2026-04-24,Morning,62,67,51,78,12,122,24615,129.46,18.84,1.1,0.75,22.8,18.83,2.0,89.31,6,62,50,1.4,95.9,51.32,188
2024-05-15,Night,51,33,22,62,7,73,18488,46.75,9.55,1.66,0.23,5.1,17.68,4.6,70.49,0,89,33,5.71,3.6,25.06,111
2025-08-15,Afternoon,55,66,39,82,8,117,19122,85.77,13.81,11.61,1.14,27.2,16.55,4.2,77.05,0,99,66,6.17,13.6,36.22,161
2025-04-08,Night,51,37,25,63,11,77,16932,81.76,6.94,1.85,0.1,15.4,18.34,3.0,63.63,1,105,55,1.02,5.1,26.55,115
2024-07-19,Morning,91,112,88,115,28,174,35000,188.12,15.07,17.22,0.33,20.5,17.86,0.0,90.89,0,51,39,1.58,77.2,71.79,267
2025-11-06,Morning,53,71,40,84,15,107,32139,133.34,12.11,13.48,1.76,14.1,17.12,3.6,82.39,12,71,61,5.17,181.9,66.91,242
2024-12-17,Afternoon,117,100,84,133,33,180,35000,230.93,26.19,0.86,0.29,34.8,19.2,0.0,86.45,2,78,65,1.71,63.7,77.73,268
2024-07-22,Morning,106,70,71,105,19,158,28013,150.16,30.55,0.99,0.79,13.3,19.11,0.0,95.31,2,103,86,3.22,91.6,60.9,219
